title,skin_type1,skin_type2,skin_type3,skin_trouble1,skin_trouble2,skin_trouble3,skin_stim1,skin_stim2,skin_stim3,components,skin_type_result,skin_trouble_result
[6월 올영픽/단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),36.0,53.0,11.0,76.0,24.0,1.0,82.0,18.0,1.0,"[다이브인세럼]정제수,부틸렌글라이콜,글리세린,다이프로필렌글라이콜,1,2-헥산다이올,판테놀,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드(500ppm),소듐아세틸레이티드하이알루로네이트,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드소듐하이알루로네이트,알란토인,트레할로스,베타인,프로판다이올,쇠비름추출물,버지니아풍년화추출물,마데카소사이드,마데카식애씨드,세라마이드엔피,베타-글루칸,말라카이트추출물,콜레스테롤,펜틸렌글라이콜,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,피브이엠/엠에이코폴리머,폴리글리세릴-10라우레이트,잔탄검,트로메타민,카보머,에틸헥실글리세린,황금추출물,모란뿌리추출물",skin_type2,skin_trouble1
[3년연속어워즈] 아누아 어성초 77 수딩 토너 350ml 리필 기획세트(350ml+350ml리필),27.0,54.0,19.0,32.0,66.0,2.0,75.0,25.0,1.0,"약모밀추출물(77%),정제수,1,2-헥산다이올,글리세린,베타인,병풀추출물,체이스트트리추출물,우엉뿌리추출물,진흙버섯추출물,쇠비름추출물,포도추출물,사과추출물,사탕수수추출물,판테놀,마트리카리아꽃추출물,소듐하이알루로네이트,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,메틸프로판다이올,부틸렌글라이콜,아이소펜틸다이올,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,다이소듐이디티에이",skin_type2,skin_trouble2
[수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),35.0,56.0,9.0,78.0,20.0,2.0,77.0,23.0,1.0,"정제수,스쿠알란(150,000ppm),글리세린,1,2-헥산다이올,베타인,판테놀,소듐하이알루로네이트,하이드롤라이즈드콜라겐,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,아세틸헥사펩타이드-8,아데노신,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알지닌,알란토인,자일리틸글루코사이드,안하이드로자일리톨,자일리톨,글루코오스,부틸렌글라이콜,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,카프릴릴글라이콜",skin_type2,skin_trouble1
라운드랩 소나무 진정 시카 앰플 30ml 더블기획 (+크림 50ml),21.0,60.0,19.0,17.0,83.0,0.0,76.0,24.0,1.0,"[소나무앰플]정제수,부틸렌글라이콜,다이프로필렌글라이콜,글리세레스-26,글리세린,소나무잎추출물(10,022ppm),1,2-헥산다이올,프로판다이올,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,에틸헥실글리세린,병풀추출물(111.22ppm),인도멀구슬나무잎추출물,황련뿌리추출물,인도멀구슬나무꽃추출물,하이드록시아세토페논,글라이코프로테인(2.0044ppm),소듐시트레이트,카프릴로일살리실릭애씨드,아시아티코사이드(0.1002ppm),아시아틱애씨드(0.1002ppm),마데카소사이드(0.1002ppm),마데카식애씨드(0.1002ppm),다이소듐이디티에이,잔탄검,카보머,트로메타민,시트릭애씨드[소나무크림]정제수,부틸렌글라이콜,글리세린,카프릴릭/카프릭트라이글리세라이드,1,2-헥산다이올,소나무잎추출물(10,020ppm),하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,에틸헥실글리세린,카카오씨추출물,인도멀구슬나무꽃추출물,인도멀구슬나무잎추출물,병풀추출물(100.2ppm),녹차추출물,오카무라큰실말추출물,흰버드나무껍질추출물,커피콩추출물,베르가모트잎추출물,병풀잎추출물(10.6ppm),세테아릴알코올,프로판다이올,소듐폴리아크릴레이트,세테아릴올리베이트,솔비탄올리베이트,글루코노락톤,카프릴로일살리실릭애씨드,덱스트린,글라이코프로테인(2.004ppm),에틸헥실스테아레이트,바이오사카라이드검-1,아시아티코사이드(0.1002ppm),아시아틱애씨드(0.1002ppm),마데카소사이드(0.1002ppm),마데카식애씨드(0.1002ppm),데실글루코사이드,솔비탄아이소스테아레이트,하이드록시에틸셀룰로오스,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,트라이데세스-6,다이소듐이디티에이",skin_type2,skin_trouble2
[톤업잡티] 이니스프리 비타C 잡티 토닝 세럼 30ml 기획 (+20ml),26.0,61.0,13.0,17.0,22.0,61.0,67.0,29.0,4.0,"정제수,프로판다이올,1,2-헥산다이올,글리세린,3-O-에틸아스코빅애씨드(20,000ppm),부틸렌글라이콜,락토바실러스발효용해물,스쿠알란,해바라기씨오일,덱스트린,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,카프릴릭/카프릭트라이글리세라이드,트로메타민,잔탄검,글루코노락톤,만다린껍질추출물,판테놀,나이아신아마이드,알란토인,당근추출물,하이알루로닉애씨드,펜틸렌글라이콜,소듐메타포스페이트,실리카다이메틸실릴레이트,사이클로덱스트린,토코페롤,에틸헥실글리세린,마데카소사이드,하이드로제네이티드폴리(C6-20올레핀),프로테아제(150ppm)*,아스코빌테트라이소팔미테이트(100ppm),글루타티온,서양톱풀추출물,에이치디아이/트라이메틸올헥실락톤크로스폴리머,베타-카로틴,페룰릭애씨드",skin_type2,skin_trouble3
[1등토너] 라운드랩 1025 독도 토너 500ml 기획 (+200ml+ 마스크팩 1매),29.0,60.0,11.0,52.0,48.0,0.0,76.0,24.0,1.0,"[독도토너]정제수,부틸렌글라이콜,글리세린,펜틸렌글라이콜,프로판다이올,아이리쉬모스추출물,사탕수수추출물,해수,1,2-헥산다이올,프로테아제,베타인,판테놀,에틸헥실글리세린,알란토인,잔탄검,다이소듐이디티에이[독도워터겔마스크]정제수,글리세린,다이프로필렌글라이콜,부틸렌글라이콜,1,2-헥산다이올,해수,하이드록시프로필트라이모늄하이알루로네이트,소듐아세틸레이티드하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드소듐하이알루로네이트,포타슘하이알루로네이트,소듐하이알루로네이트,프로테아제,류신,라이신,페닐알라닌,트립토판,발린,트레오닌,아이소류신,메티오닌,알란토인,베타인,판테놀,다이포타슘글리시리제이트,글루코오스,자일리틸글루코사이드,안하이드로자일리톨,자일리톨,에틸헥실글리세린,소듐파이테이트,카보머,알지닌",skin_type2,skin_trouble1
[6월 올영픽/아일릿 이로하PICK]바이오더마 하이드라비오 토너 500ml 기획 (+양면 토너패드 50매),37.0,53.0,10.0,70.0,30.0,0.0,79.0,21.0,0.0,"정제수,글리세린,폴리솔베이트20,다이소듐이디티에이,세트리모늄브로마이드,향료,나이아신아마이드,자일리톨,알란토인,프룩토올리고사카라이드,만니톨,헥실데칸올,소듐하이드록사이드,시트릭애씨드,람노오스,사과씨추출물,유채스테롤,토코페롤",skin_type2,skin_trouble1
[속건조해결] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+원데이키트2ea),33.0,53.0,14.0,74.0,26.0,1.0,81.0,19.0,1.0,"'정제수,프로판다이올,펜틸렌글라이콜,글리세린,1,2-헥산다이올,판테놀,참마뿌리추출물,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,아이비고드열매추출물,카바카바잎/뿌리/줄기추출물,병풀추출물,인삼열매추출물,가지열매추출물,알로에베라꽃추출물,홀리바질잎추출물,울금뿌리추출물,참산호말추출물,갈랑가갈랑갈추출물,소듐하이알루로네이트(1,000ppm),하이드로제네이티드레시틴,메틸프로판다이올,소듐아크릴릭애씨드/엠에이코폴리머,부틸렌글라이콜,잔탄검,소듐시트레이트,글라이코실트레할로오스,하이드로제네이티드스타치하이드롤리세이트,아데노신,시트릭애씨드,라피노오스,레시틴,폴리쿼터늄-51,베타-글루칸,사카라이드아이소머레이트,사이아노코발아민,바이오사카라이드검-1,카프릴릭/카프릭트라이글리세라이드,소듐스테아로일글루타메이트,수크로오스라우레이트,글라이신,세린,알지닌,히스티딘,리솔레시틴,하이드롤라이즈드소듐하이알루로네이트(0.1ppm),토코페롤,벤질글라이콜,하이드롤라이즈드글라이코사미노글리칸(0.0056ppm),소듐아세틸레이티드하이알루로네이트(0.000002ppm),소듐하이알루로네이트크로스폴리머(0.001ppm),하이드록시프로필트라이모늄하이알루로네이트(0.0001ppm),하이드롤라이즈드하이알루로닉애씨드(0.0005ppm),하이알루로닉애씨드(0.00001ppm),에틸헥실글리세린,카프릴릴글라이콜",skin_type2,skin_trouble1
[7월 올영픽/24시간수분잠금] 아비브 수분초 히알루론 크림 하이드레이팅 팟 80ml 1+1 기획,22.0,67.0,11.0,78.0,22.0,0.0,100.0,0.0,0.0,"정제수,돌나물추출물,글리세린,세틸에틸헥사노에이트,카프릴릭/카프릭트라이글리세라이드,펜틸렌글라이콜,베타인,퀸즈랜드넛오일,1,2-헥산다이올,소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,하이드록시프로필트라이모늄하이알루로네이트,소듐아세틸레이티드하이알루로네이트,포타슘하이알루로네이트,알란토인,판테놀,피토스테롤,베타-글루칸,세라마이드엔피,알지닌,포스포리피드,콜레스테롤,토코페롤,하이드롤라이즈드식물성단백질,마데카소사이드,아시아티코사이드,병풀잎추출물,클로렐라불가리스추출물,트로메타민,글루코오스,하이드록시아세토페논,부틸렌글라이콜,프룩토올리고사카라이드,프룩토오스,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,에틸헥실글리세린,세테아릴올리베이트,다이포타슘글리시리제이트,솔비탄올리베이트,라우로일라이신,소듐파이테이트,하이드로제네이티드레시틴,말토덱스트린,구아하이드록시프로필트라이모늄클로라이드,카보머",skin_type2,skin_trouble1
에스트라 아토베리어365 크림 80ml 기획 (+하이드로에센스 25ml+리제덤세럼 7ml),56.0,40.0,4.0,78.0,22.0,1.0,79.0,21.0,1.0,"정제수,부틸렌글라이콜,글리세린,부틸렌글라이콜다이카프릴레이트/다이카프레이트,세틸에틸헥사노에이트,스쿠알란,펜타에리스리틸테트라아이소스테아레이트,다이카프릴릴카보네이트,베헤닐알코올,다이메티콘,하이드록시프로필비스팔미타마이드엠이에이,스테아릭애씨드,베타인,만니톨,C14-22알코올,팔미틱애씨드,하이드록시프로필비스라우라마이드엠이에이,아라키딜알코올,콜레스테롤,폴리아크릴레이트-13,C12-20알킬글루코사이드,알란토인,아라키딜글루코사이드,나이아신아마이드,세라마이드엔피,글리세릴카프릴레이트,에틸헥실글리세린,하이드로제네이티드폴리아이소부텐,카보머,트로메타민,다이메티콘올,폴리글리세릴-10라우레이트,하이드로제네이티드레시틴,에틸헥실팔미테이트,아크릴레이트/암모늄메타크릴레이트코폴리머,솔비탄아이소스테아레이트,실리카,피토스핑고신,스핑고리피드,아라키딕애씨드,토코페롤,올레익애씨드",skin_type1,skin_trouble1
[크림본품증정] 라운드랩 자작나무 수분 크림 80ml 1+1 기획 (+50ml),37.0,51.0,12.0,65.0,35.0,0.0,77.0,23.0,1.0,"정제수,글리세린,아이소노닐아이소노나노에이트,아이소도데케인,1,2-헥산다이올,펜틸렌글라이콜,폴리데센,자작나무수액(10,000ppm),호호바에스터,판테놀,글리세릴글루코사이드,아라비아고무나무검,하이드롤라이즈드오크라추출물,소듐하이알루로네이트,하이알루로닉애씨드,화이트루핀씨추출물,드럼스틱씨추출물,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,아이비고드열매추출물,알로에베라꽃추출물,가지열매추출물,홀리바질잎추출물,참산호말추출물,울금뿌리추출물,아스코빅애씨드,펜타에리스리틸테트라에틸헥사노에이트,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,폴리글리세릴-3메틸글루코오스다이스테아레이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,에틸헥실글리세린,아가,다이포타슘글리시리제이트,글리세릴카프릴레이트,부틸렌글라이콜,다이소듐이디티에이",skin_type2,skin_trouble1
아벤느 오 떼르말 300ml 2입 기획,35.0,52.0,13.0,45.0,55.0,1.0,82.0,18.0,1.0,아벤느온천수(아쿠아),skin_type2,skin_trouble2
[모공+피부결] 넘버즈인 3번 보들보들 결 세럼 80ml 기획(+3번 결 세럼팩),32.0,59.0,10.0,52.0,31.0,17.0,56.0,37.0,7.0,"[세럼]비피다발효용해물,갈락토미세스발효여과물,부틸렌글라이콜,메틸글루세스-20,정제수,나이아신아마이드,피이지-90,1,2-헥산다이올,글리세린,스쿠알란,알테로모나스발효추출물,실크추출물,염소유추출물,소듐하이알루로네이트,판테놀,아데노신,글리세레스-26,잔탄검,폴리글리세릴-3다이스테아레이트,글리세릴스테아레이트에스이,글리세릴스테아레이트시트레이트,폴리글리세릴-3메틸글루코오스다이스테아레이트,카보머,트로메타민,에틸헥실글리세린,카프릴릴글라이콜,트로폴론,다이소듐이디티에이[마스크팩]정제수,비피다발효용해물,갈락토미세스발효여과물,메틸글루세스-20,글리세레스-26,글리세린,나이아신아마이드,피이지-90,1,2-헥산다이올,페퍼민트잎추출물,버지니아풍년화추출물,녹차추출물,캐모마일꽃추출물,레몬그라스잎오일,솔잣나무가지/잎오일,오렌지껍질오일,라벤더오일,로즈마리잎오일,아틀라스시다나무껍질오일,알테로모나스발효추출물,염소유추출물,실크추출물,스쿠알란,소듐하이알루로네이트,판테놀,부틸렌글라이콜,폴리글리세릴-3메틸글루코오스다이스테아레이트,폴리글리세릴-3다이스테아레이트,글리세릴스테아레이트시트레이트,글리세릴스테아레이트에스이,카프릴릴글라이콜,옥틸도데세스-16,잔탄검,카보머,트로메타민,에탄올,에틸헥실글리세린,아데노신,다이소듐이디티에이,리모넨,리날룰,시트랄",skin_type2,skin_trouble1
브링그린 티트리시카수딩크림플러스 더블한정기획(+토너250)(배스킨콜라보),13.0,56.0,31.0,21.0,79.0,2.0,61.0,36.0,3.0,"[티트리시카수딩크림플러스]정제수,티트리추출물,병풀추출물,부틸렌글라이콜,스쿠알란,티트리잎추출물,티트리잎수,프로판다이올,1,2-헥산다이올,나이아신아마이드,펜틸렌글라이콜,폴리글리세릴-3메틸글루코오스다이스테아레이트,다이글리세린,티트리꽃/잎/줄기추출물,티트리잎오일,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리메틸실세스퀴옥세인,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,솔비탄아이소스테아레이트,마데카소사이드,에틸헥실글리세린[티트리시카수딩토너]티트리추출물,정제수,다이프로필렌글라이콜,티트리잎추출물,티트리잎수,병풀추출물,1,2-헥산다이올,부틸렌글라이콜,티트리꽃/잎/줄기추출물,베타인,판테놀,옥틸도데세스-16,소듐시트레이트,시트릭애씨드,티트리잎오일,베타인살리실레이트,잔탄검",skin_type2,skin_trouble2
[한정기획] 피지오겔 사이언수티컬즈 데일리뮨 앰플 세럼 20ml+글로우에센스 20ml+마스크팩 1매 기획,41.0,52.0,7.0,37.0,25.0,38.0,59.0,37.0,4.0,"정제수,다이프로필렌글라이콜,프로판다이올,아스코빅애씨드,2,3-부탄다이올,글리세린,변성알코올,판테놀,글라이코실트레할로오스,하이드로제네이티드스타치하이드롤리세이트,1,2-헥산다이올,솔비톨,폴리글리세릴-10스테아레이트,폴리글리세릴-10올리에이트,알란토인,마데카소사이드,트레할로오스,부틸렌글라이콜,베티버뿌리오일,덱스트린,소듐하이알루로네이트,잇꽃꽃추출물,카카오씨추출물,후추열매오일,생강오일,홍삼추출물,영지버섯추출물,토코페롤,페룰릭애씨드,스쿠알란,카프릴릭/카프릭트라이글리세라이드,세라마이드엔피,하이드로제네이티드레시틴,육계잎오일,다마스크장미꽃오일,돌콩오일,다이소듐이디티에이,트로메타민",skin_type2,skin_trouble3
[단독기획] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+화장솜 60매 증정),33.0,54.0,13.0,60.0,40.0,1.0,76.0,24.0,1.0,"1.다이브인저분자히알루론산토너500ml(본품)정제수,부틸렌글라이콜,다이프로필렌글라이콜,1,2-헥산다이올,글리세린,베타인,알란토인,판테놀,쇠비름추출물,트레할로오스,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드(100ppm),소듐하이알루로네이트크로스폴리머,하이드롤라이즈드소듐하이알루로네이트,소듐아세틸레이티드하이알루로네이트,2,3-부탄다이올,펜틸렌글라이콜,말라카이트추출물,다이소듐이디티에이,에틸헥실글리세린",skin_type2,skin_trouble1
[화해1위/수분쿨링진정] 에스네이처 아쿠아 오아시스 수분 젤크림 90ml 기획 (+카밍패드 2매),20.0,48.0,32.0,41.0,59.0,1.0,72.0,28.0,1.0,"젤크림:정제수,글리세린,부틸렌글라이콜,1,2-헥산다이올,블루아가베잎추출물,알란토인,소듐하이알루로네이트,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,알지닌,메틸트라이메티콘,에틸헥실글리세린,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,하이드로제네이티드폴리(C6-14올레핀),메틸다이아이소프로필프로피온아마이드,다이메티콘/비닐다이메티콘크로스폴리머,솔비탄아이소스테아레이트,다이소듐이디티에이카밍패드:정제수,프로판다이올,부틸렌글라이콜,판테놀(30,000ppm),다이프로필렌글라이콜,글리세릴글루코사이드,소듐피씨에이베타인,알란토인(1,500ppm),글루코노락톤,글리세린,소듐하이알루로네이트,사카라이드아이소머레이트,보검선인장줄기추출물,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,탱자추출물,다이포타슘글리시리제이트,효모발효물,락토바실러스발효물,에틸헥실글리세린,카프릴릴글라이콜,트로메타민,1,2-헥산다이올,소듐파이테이트,하이드록시아세토페논,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,피브이엠/엠에이코폴리머",skin_type2,skin_trouble2
[7월 올영픽] 빌리프 슈퍼드랍스 비타C토닝 세럼 50ml 기획(+멀티비타민 마스크 25ml),33.0,62.0,5.0,29.0,9.0,62.0,84.0,16.0,0.0,"[본품비타C토닝세럼]정제수,부틸렌글라이콜,나이아신아마이드,프로판다이올,2,3-부탄다이올,1,2-헥산다이올,글리세린,아이소펜틸다이올,판테놀,레몬밤꽃/잎/줄기수*,로즈마리잎수*,타임잎추출물*,유칼립투스잎추출물*,폴스애플민트잎추출물*,로즈힙열매추출물*,베타인,아스코빅애씨드,글루타티온,폴리글리세릴-10스테아레이트,폴리글리세릴-10올리에이트,효모발효여과물,겨우살이추출물,락토바실러스/콩발효추출물,알란토인,트레할로오스,띠뿌리추출물,암모늄폴리아크릴로일다이메틸타우레이트,잔탄검,카보머,소듐글루코네이트,피브이엠/엠에이코폴리머,소듐시트레이트,소듐하이알루로네이트,트로메타민,시트릭애씨드,하이드롤라이즈드옥수수전분,수크로오스,락틱애씨드,오렌지껍질오일+,라임전초오일+,센티드제라늄꽃오일+,로즈마리잎오일+,리모넨,시트로넬올,제라니올,시트랄,리날룰*표시:beliforiginalformula/+표시:식물유래향[증정멀티비타민마스크]정제수,글리세린,해바라기씨오일,다이카프릴릴카보네이트,글리세릴스테아레이트,1,2-헥산다이올,세틸알코올,베타인,판테놀,폴리글리세릴-3메틸글루코오스다이스테아레이트,세테아릴올리베이트,글리세릴스테아레이트시트레이트,스테아릭애씨드,부틸렌글라이콜,마카다미아씨오일폴리글리세릴-6에스터스베헤네이트,솔비탄올리베이트,락토바실러스/콩발효추출물,효모/감자추출물발효여과물,효모/보리씨발효여과물,트로메타민,나이아신아마이드(100ppm),토코페롤(84.75ppm),귀리커넬추출물*,포트마리골드꽃추출물*,개박하추출물*,라즈베리잎추출물*,와일드인디고뿌리추출물*,별꽃추출물,레이디스맨틀잎추출물+,마시멜로뿌리추출물+,다마스크장미꽃추출물+,메도우스위트꽃추출물+,삼색제비꽃추출물+,아스코빅애씨드(1ppm),사이아노코발아민(1ppm),카보머,말토덱스트린,돌콩오일,소듐시트레이트,오일팜오일,시트릭애씨드,트라이소듐이디티에이,잔탄검,라임전초오일**,센티드제라늄꽃오일**,로즈마리잎오일**,오렌지껍질오일**,리모넨,시트로넬올,제라니올,시트랄,리날룰*표시:Napiersoriginalformula/+표시:Napiersmoistureformula/**표시:식물유래향",skin_type2,skin_trouble3
한율 보들은행잎 모공핏 세럼 40ml (+7ml+모공핏 마스크 1매 증정기획),21.0,60.0,19.0,35.0,27.0,38.0,62.0,33.0,5.0,"정제수,나이아신아마이드,글리세린,베타인,글루코노락톤,부틸렌글라이콜,다이프로필렌글라이콜,시트릭애씨드,다이메틸아이소소바이드,트로메타민,카페인,다이에톡시에틸석시네이트,살리실릭애씨드,폴리글리세릴-10라우레이트,1,2-헥산다이올,펙틴,피피지-13-데실테트라데세스-24,향료,에틸헥실글리세린,타우린,소듐메타포스페이트,아데노신,카프릴릴글라이콜,칼슘클로라이드,락토바실러스발효물,황련뿌리추출물,은행나무잎추출물(40ppm),아세틸테트라펩타이드-2,토코페롤,풀루란,제인",skin_type2,skin_trouble3
쏘내추럴 올 데이 메이크업 픽서 더블기획 (120ml+120ml),22.0,59.0,19.0,52.0,39.0,9.0,63.0,37.0,1.0,"정제수,폴리에스터-5,변성알코올,하이드롤라이즈드밀단백질,소듐하이알루로네이트,레몬추출물,서양톱풀추출물,아르니카몬타나꽃추출물,쓴쑥추출물,겐티아나뿌리추출물,티트리잎추출물,병풀추출물,프로판다이올,폴리글리세릴-2올리에이트,피이지-60하이드로제네이티드캐스터오일,옥틸도데세스-16,에틸헥실글리세린,판테놀,에탄올,페녹시에탄올,소듐벤조에이트,포타슘솔베이트,향료,리모넨",skin_type2,skin_trouble1
